0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:35 +0530] "GET /LMS/showLibraryRecord.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:35 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:36 +0530] "GET /LMS/showLibraryRecord.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:36 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:37 +0530] "GET /LMS/dateWiseLibRecord.jsp HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:37 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:41 +0530] "POST /LMS/dateWiseLibRecord2.jsp HTTP/1.1" 200 4193
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:41 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:47 +0530] "GET /LMS/submitBook.jsp HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:47 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:49 +0530] "GET /LMS/showLibraryRecord.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:16:49 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:00 +0530] "GET /LMS/dateWiseLibRecord.jsp HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:00 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:08 +0530] "POST /LMS/dateWiseLibRecord2.jsp HTTP/1.1" 200 4019
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:08 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:12 +0530] "GET /LMS/changeSelfPassword1.jsp HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:12 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:18 +0530] "POST /LMS/changeSelfPassword2.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:18 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:20 +0530] "POST /LMS/changeSelfPassword HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:20 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:24 +0530] "POST /LMS/changeSelfPassword2.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:24 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:26 +0530] "POST /LMS/changeSelfPassword HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:26 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:35 +0530] "POST /LMS/changeSelfPassword HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:35 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:35 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:35 +0530] "GET /LMS/miscCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:35 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:35 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:37 +0530] "GET /LMS/logout HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:17:37 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:19:31 +0530] "GET /favicon.ico HTTP/1.1" 404 988
